Postal Code,Latitude,Longitude
5A2,51.518329,-0.115111
5A2,51.517824,-0.120076
5A2,51.518329,-0.115111
5A2,51.517356,-0.120599
5A2,51.517356,-0.120599
5A2,51.518366,-0.115084
5A2,51.518185,-0.116241
5A2,51.518185,-0.116241
5B1,51.518329,-0.115111
5A2,51.518329,-0.115111
6A1,51.518334,-0.114895
5A2,51.518185,-0.116241
5A2,51.518185,-0.116241
5A2,51.518185,-0.116241
2D1,51.518065,-0.117154
4A3,51.518329,-0.115111
5A2,51.401546,0.015415
2D1,51.406333,0.015208
2C1,51.400057,0.016715
5B1,51.404543,0.014195
2D1,51.415794,0.009958
3A1,51.416198,0.008422
2D1,51.417056,0.00928
5A2,51.417482,0.00553
2C1,51.417724,0.010158
2C1,51.418192,0.010639
2D1,51.418306,0.007146
5A2,51.421481,0.020736
2D1,51.428378,0.009762
2C1,51.428378,0.009762
2D1,51.408226,0.017578
2D1,51.428378,0.009762
2D1,51.428378,0.009762
5A3,51.421481,0.020736
5A3,51.427895,0.010173
5A3,51.386139,0.072227
5B1,51.38401,0.070047
5A3,51.385533,0.070892
5B1,51.388029,0.07214
5B1,51.38587,0.070677
5B1,51.388052,0.06935
5A3,51.389382,0.066323
5B1,51.388302,0.065828
5A3,51.389474,0.06923
5B1,51.386263,0.070293
2D1,51.376829,0.099138
5B1,51.393675,0.083881
5B1,51.394078,0.084992
5B1,51.394045,0.080778
2D1,51.395108,0.076111
5B1,51.395214,0.077755
5B1,51.395616,0.075358
5A3,51.393386,0.079426
5A3,51.391757,0.079481
5A3,51.392325,0.07485
5B1,51.393888,0.076962
5A3,51.393726,0.077501
5A3,51.391712,0.087069
5B1,51.391596,0.083973
2C3,51.391312,0.077204
2C3,51.391942,0.075134
2C3,51.392056,0.086926
2C3,51.391934,0.083672
5B1,51.391842,0.081282
5B1,51.376547,0.105821
5B1,51.376918,0.104171
2C3,51.37616,0.106335
5B1,51.374382,0.10621
5B1,51.37379,0.106614
5B1,51.372635,0.100799
5B1,51.371992,0.104563
5B1,51.3722,0.106498
5B1,51.375617,0.107517
5B1,51.372974,0.102467
5B1,51.374205,0.100498
5B1,51.373806,0.101701
5B1,51.373527,0.104217
5A2,51.371388,0.107653
5B1,51.373006,0.105199
5B1,51.373605,0.10741
5A3,51.373334,0.107958
5B1,51.374869,0.104638
5A3,51.375086,0.102032
5A3,51.375138,0.099161
2D1,51.375112,0.100597
2C1,51.382776,0.090442
5A2,51.383728,0.090011
5B1,51.379528,0.094533
2D1,51.376829,0.099138
2D1,51.378573,0.098154
5B2,51.378573,0.098154
5B2,51.382955,0.107064
2C1,51.376829,0.099138
5B1,51.376829,0.099138
5B1,51.376829,0.099138
5B2,51.376136,0.101146
5B2,51.384789,0.10206
5B2,51.384466,0.103511
5B1,51.384726,0.102575
5B1,51.383799,0.102101
5B2,51.381376,0.102321
6A1,51.37678,0.107858
5B1,51.376829,0.099138
5B1,51.383799,0.102101
5B1,51.383469,0.092428
5A2,51.383802,0.092889
5B1,51.384304,0.092495
5A2,51.383638,0.09153
5A2,51.383638,0.09153
5A2,51.376829,0.099138
5B1,51.376829,0.099138
5A2,51.376829,0.099138
5A2,51.376829,0.099138
6A1,51.378573,0.098154
5B2,51.376829,0.099138
